split,source,image,label,original_image,group_key,positive,boxes
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000001.jpg,data/unified/labels/train/garbage-8uzha_000001.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-44-42_aft_DF4_jpg.rf.7ea16185f9425ba777a848ac021a3ccf.jpg,garbage-8uzha:9_erip_su_11-15_13-44-42_aft_DF4,1,1
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000002.jpg,data/unified/labels/train/garbage-8uzha_000002.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-44-42_aft_DF4_jpg.rf.a20198c5e70c18b05d0eddab156d658e.jpg,garbage-8uzha:9_erip_su_11-15_13-44-42_aft_DF4,1,1
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000003.jpg,data/unified/labels/train/garbage-8uzha_000003.txt,data/raw_garbage-8uzha/train/images/9_dsp_su_11-10_10-18-59_for_DF5_jpg.rf.0cb28c1a57a7c40bc6538a683cb0e5de.jpg,garbage-8uzha:9_dsp_su_11-10_10-18-59_for_DF5,1,2
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000004.jpg,data/unified/labels/train/garbage-8uzha_000004.txt,data/raw_garbage-8uzha/train/images/9_dsp_su_11-10_10-18-59_for_DF5_jpg.rf.957ed56c67b71c12f28084b0ec8c4914.jpg,garbage-8uzha:9_dsp_su_11-10_10-18-59_for_DF5,1,2
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000005.jpg,data/unified/labels/train/garbage-8uzha_000005.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-10_12-02-52_aft_DF5_jpg.rf.6d81699d411c0a1dec4c743b56fec040.jpg,garbage-8uzha:9_erip_su_11-10_12-02-52_aft_DF5,1,3
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000006.jpg,data/unified/labels/train/garbage-8uzha_000006.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-10_12-02-52_aft_DF5_jpg.rf.6db4a0c774fa1fa666a87927b0b85892.jpg,garbage-8uzha:9_erip_su_11-10_12-02-52_aft_DF5,1,3
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000007.jpg,data/unified/labels/train/garbage-8uzha_000007.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-26-24_aft_DF5_jpg.rf.c8a089db1bdc6df593fb07ecfece4c9d.jpg,garbage-8uzha:9_erip_su_11-15_13-26-24_aft_DF5,1,1
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000008.jpg,data/unified/labels/train/garbage-8uzha_000008.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-26-24_aft_DF5_jpg.rf.d679dd80aa74c8519020b43a7d2ab0c1.jpg,garbage-8uzha:9_erip_su_11-15_13-26-24_aft_DF5,1,1
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000009.jpg,data/unified/labels/train/garbage-8uzha_000009.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_15-28-16_aft_DF5_jpg.rf.54d9cc3bf755b8c59c95049bdf23a8a8.jpg,garbage-8uzha:9_erip_su_11-15_15-28-16_aft_DF5,1,1
train,garbage-8uzha,data/unified/images/train/garbage-8uzha_000010.jpg,data/unified/labels/train/garbage-8uzha_000010.txt,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_15-28-16_aft_DF5_jpg.rf.8e8bfab46e2e708cf3e88a5376abba16.jpg,garbage-8uzha:9_erip_su_11-15_15-28-16_aft_DF5,1,1
