grupo,source,image_id,path,original_image,file_size,file_sha256,phash,erro
train,garbage-8uzha,garbage-8uzha_000001.jpg,data/unified/images/train/garbage-8uzha_000001.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-44-42_aft_DF4_jpg.rf.7ea16185f9425ba777a848ac021a3ccf.jpg,715214,c0705934860080237dfc98503cec731b28a42d5e41fa77935270e311b2a6c4b2,a0437f1e5c30eb17,
train,garbage-8uzha,garbage-8uzha_000002.jpg,data/unified/images/train/garbage-8uzha_000002.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-44-42_aft_DF4_jpg.rf.a20198c5e70c18b05d0eddab156d658e.jpg,423116,9907020ba92a5976eefb4cb4325f55bf79ebacb2d3ac7f5b5bb6fbf87a417b9b,c79293796d616564,
train,garbage-8uzha,garbage-8uzha_000003.jpg,data/unified/images/train/garbage-8uzha_000003.jpg,data/raw_garbage-8uzha/train/images/9_dsp_su_11-10_10-18-59_for_DF5_jpg.rf.0cb28c1a57a7c40bc6538a683cb0e5de.jpg,652448,9826112dc5c86eb6d6566594107d026116926b3a85e42510a6e1824d1fb52782,c39ae2b6e6c35a11,
train,garbage-8uzha,garbage-8uzha_000004.jpg,data/unified/images/train/garbage-8uzha_000004.jpg,data/raw_garbage-8uzha/train/images/9_dsp_su_11-10_10-18-59_for_DF5_jpg.rf.957ed56c67b71c12f28084b0ec8c4914.jpg,625399,20b219b7c45ffe185e8e32a04cda5507ded063c62849d776bc4def028a4aada7,c39ae2b6e6c35891,
train,garbage-8uzha,garbage-8uzha_000005.jpg,data/unified/images/train/garbage-8uzha_000005.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-10_12-02-52_aft_DF5_jpg.rf.6d81699d411c0a1dec4c743b56fec040.jpg,608302,8f7692a1e2072c2b8e31cfe6e541f45db57d6b37768168961450c49e73f48068,9431a3a6fb8e6985,
train,garbage-8uzha,garbage-8uzha_000006.jpg,data/unified/images/train/garbage-8uzha_000006.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-10_12-02-52_aft_DF5_jpg.rf.6db4a0c774fa1fa666a87927b0b85892.jpg,610635,4bb68a44a73cff3854ae02cf716a571acf4e344264be7a40724c39efbffd2b41,9431a3a6fb8e6985,
train,garbage-8uzha,garbage-8uzha_000007.jpg,data/unified/images/train/garbage-8uzha_000007.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-26-24_aft_DF5_jpg.rf.c8a089db1bdc6df593fb07ecfece4c9d.jpg,263445,04a561d8758e575121db9a3ef948aa9bedb90fa6d6d17cde93eb82314afb285d,c73cce936c646391,
train,garbage-8uzha,garbage-8uzha_000008.jpg,data/unified/images/train/garbage-8uzha_000008.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-26-24_aft_DF5_jpg.rf.d679dd80aa74c8519020b43a7d2ab0c1.jpg,477785,fe41488836c919564ac3181eec269dfdcbca07b2d486b423046a5dc72b7b670e,936bb8c05fb0a3ac,
train,garbage-8uzha,garbage-8uzha_000009.jpg,data/unified/images/train/garbage-8uzha_000009.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_15-28-16_aft_DF5_jpg.rf.54d9cc3bf755b8c59c95049bdf23a8a8.jpg,659218,e663fbadbee6216761de843ac24638347c7b41af624f8cb8af30cdd501f1f010,f2c396b43d05a0fc,
train,garbage-8uzha,garbage-8uzha_000010.jpg,data/unified/images/train/garbage-8uzha_000010.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_15-28-16_aft_DF5_jpg.rf.8e8bfab46e2e708cf3e88a5376abba16.jpg,675995,737f5b62c9ba8a7199baacd7e9dca303d5985bb7c746362d5dbdc640814ffbee,a769c30668a7f456,
train,garbage-8uzha,garbage-8uzha_000011.jpg,data/unified/images/train/garbage-8uzha_000011.jpg,data/raw_garbage-8uzha/train/images/9_dsp_su_11-10_11-01-14_for_DF5_jpg.rf.38fab047735392dedd72c6b6790f096d.jpg,636203,8b0348452b547af1a8e8d6e1e99efa9a65799a6e478c23989335f724a5afad40,a9c43894fa77be04,
train,garbage-8uzha,garbage-8uzha_000012.jpg,data/unified/images/train/garbage-8uzha_000012.jpg,data/raw_garbage-8uzha/train/images/9_dsp_su_11-10_11-01-14_for_DF5_jpg.rf.825a507f0d33f13bec1acaa7a08a1ffd.jpg,629912,b8fc3bdf712b20c222f9d5d0ec29b651d029b4af484c085c778980b3af434bf1,fc4e643e2c99c386,
train,garbage-8uzha,garbage-8uzha_000013.jpg,data/unified/images/train/garbage-8uzha_000013.jpg,data/raw_garbage-8uzha/train/images/9_etc_su_11-12_16-52-06_aft_DF5_jpg.rf.059eeed29fbade6b9fc9063360e6138b.jpg,153834,7ca2ae6b0e49c2c8b96d1a0b16fe7eb080fd3aa90eaf348ba4c7145c1b529356,c527a7e4ac9868e6,
train,garbage-8uzha,garbage-8uzha_000014.jpg,data/unified/images/train/garbage-8uzha_000014.jpg,data/raw_garbage-8uzha/train/images/9_etc_su_11-12_16-52-06_aft_DF5_jpg.rf.ef29c37e1072298d4fd2ab7c834ba906.jpg,118328,08f1a08a0c21d4ad03a748c55a1204e6c76bab381b4ac8d58d5bae57be7769dc,c78c367b906c6d61,
train,garbage-8uzha,garbage-8uzha_000015.jpg,data/unified/images/train/garbage-8uzha_000015.jpg,data/raw_garbage-8uzha/valid/images/9_tjdp_su_11-12_15-57-36_aft_DF5_jpg.rf.14cae7ffe39a27afe00f63fbc517f9ea.jpg,836427,f9be362d608a7a47c94455f17ef45fc486b417718a9a943f3afe538ca5870c8d,8c2c286dece74f0b,
train,garbage-8uzha,garbage-8uzha_000016.jpg,data/unified/images/train/garbage-8uzha_000016.jpg,data/raw_garbage-8uzha/valid/images/9_erip_su_11-15_14-08-20_aft_DF5_jpg.rf.17b56d12c16fc9dbcd328920cf816bd2.jpg,769316,2c4637848a04f24c6fd8d608089ee318e874a332a8efa8b6d8ee7885234e15c8,8ecf5438899955c7,
train,garbage-8uzha,garbage-8uzha_000017.jpg,data/unified/images/train/garbage-8uzha_000017.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-39-04_aft_DF4_jpg.rf.df456b89f08952e883931c17a9021d8f.jpg,420779,820dc9ef6606da7895d9757ddaf9fd820a0b1d076ca8da467bd50225b1c69378,c6b69bc1e16768c1,
train,garbage-8uzha,garbage-8uzha_000018.jpg,data/unified/images/train/garbage-8uzha_000018.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_13-39-04_aft_DF4_jpg.rf.faeb6b901d0d42e782d73f786501b0ba.jpg,718611,87775e610e86c37bde14d9dc49a4bad9cd7095e0b76e47506bb29cb9d83e2aad,a6adbd2ca8690ba9,
train,garbage-8uzha,garbage-8uzha_000019.jpg,data/unified/images/train/garbage-8uzha_000019.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-10_12-07-08_aft_DF5_jpg.rf.8a96f17e71c22a23ac85ebf206871e69.jpg,314471,64f348125f84c847673885b88617f270d148cf1e3d1be25a69d3782a7265b2ce,c338cee6318cc7cc,
train,garbage-8uzha,garbage-8uzha_000020.jpg,data/unified/images/train/garbage-8uzha_000020.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-10_12-07-08_aft_DF5_jpg.rf.8f4b7e5e9eb554f358d069810c6f5163.jpg,578550,fe25ee52c221587c01dae4cf9d5f2d12691732954454fad3b57fb7de31f86456,ab6c9f22849dca4e,
train,garbage-8uzha,garbage-8uzha_000021.jpg,data/unified/images/train/garbage-8uzha_000021.jpg,data/raw_garbage-8uzha/test/images/9_erip_su_11-15_15-31-58_aft_DF5_jpg.rf.43841ba267c6e6ea1ac2088ed800b5da.jpg,732586,c1b5fbe6c6453179037041ebd884a84fb14054a3249fca037b572c63733cf823,8787c769692163ec,
train,garbage-8uzha,garbage-8uzha_000022.jpg,data/unified/images/train/garbage-8uzha_000022.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_14-26-39_aft_DF5_jpg.rf.786b905d864a53ebc140f7cce7d0161c.jpg,644335,782f31e621306d1903498dc535d375fbbef7547fda3da861563ec54d873ace8a,c4642a2bdbc1c7c7,
train,garbage-8uzha,garbage-8uzha_000023.jpg,data/unified/images/train/garbage-8uzha_000023.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_14-26-39_aft_DF5_jpg.rf.ac3a27f5eb84aa04bd1a6862dcfc7bd9.jpg,406304,7fe84958b4894f22f816d6401105f81fed0a7497b00042993a4816e096c6f9ea,9e38c6c6c7c6183e,
train,garbage-8uzha,garbage-8uzha_000024.jpg,data/unified/images/train/garbage-8uzha_000024.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_14-47-06_aft_DF4_jpg.rf.670a6d34d68796ca00cadeb159e8a752.jpg,367825,306ddd0b6cec58ff79c29654fbc95b9cfd5f8dc24d8b5593f867c3ade253a405,e7dc479b64924d30,
train,garbage-8uzha,garbage-8uzha_000025.jpg,data/unified/images/train/garbage-8uzha_000025.jpg,data/raw_garbage-8uzha/train/images/9_erip_su_11-15_14-47-06_aft_DF4_jpg.rf.8563942d0052422151332b8422b86a3b.jpg,364029,d1eebffa15b69729205ee28cfcc65f021036ab91769b15c384b024bebadb3f97,b2761235333d3a9a,
